date,channel,net_revenue,gross_revenue,order_count,item_quantity,gross_profit,discount_amount
2024-04-21,Shopee,13132814,14519443,30,30,3640797,1004597
2024-04-21,Lazada,10813708,12204140,27,54,2699435,481162
2024-04-21,TikTok Shop,12771830,13891230,35,105,2903700,906295
2024-04-21,Website,5920293,6723997,16,16,1542696,443338
2024-04-22,Shopee,11245018,12271326,22,44,2650773,315373
2024-04-22,Lazada,6724778,7232496,20,40,1645355,506602
2024-04-22,TikTok Shop,9345178,9898846,23,69,2457227,215801
2024-04-22,Website,5724673,6396562,14,42,1053081,139493
2024-04-23,Shopee,10572619,11330693,21,21,2822333,422671
2024-04-23,Lazada,8174753,8756638,39,39,2257930,221037
2024-04-23,TikTok Shop,8822001,10069822,19,57,2121163,284693
2024-04-23,Website,4650051,5139273,14,28,1014019,241891
2024-04-24,Shopee,11843902,12801389,30,60,2739277,590260
2024-04-24,Lazada,6754821,7634850,26,78,1533000,475430
2024-04-24,TikTok Shop,8800690,9566970,28,56,1624357,632286
2024-04-24,Website,4402861,4630146,15,45,1204076,241050
2024-04-25,Shopee,14835383,16015081,35,35,3159737,634812
2024-04-25,Lazada,7750158,8524632,23,69,2126228,311974
2024-04-25,TikTok Shop,8640481,9907614,18,54,2194331,411717
2024-04-25,Website,5277111,5630290,13,39,1238299,163817
2024-04-26,Shopee,15405112,17700972,31,31,3580062,1083659
2024-04-26,Lazada,9772413,11184710,40,120,1806445,199191
2024-04-26,TikTok Shop,13173655,14942277,48,48,2460796,382850
2024-04-26,Website,7300745,8035005,23,46,1358267,425369
2024-04-27,Shopee,14630029,16326066,32,32,2643079,776834
2024-04-27,Lazada,9350397,9833556,45,135,1939965,735397
2024-04-27,TikTok Shop,11871348,13061113,56,168,2937011,811645
2024-04-27,Website,4846577,5140773,16,16,1126531,167004
2024-04-28,Shopee,12791217,13753651,26,52,2644360,560432
2024-04-28,Lazada,11698800,13406003,29,58,2766769,929048
2024-04-28,TikTok Shop,14708455,15885094,46,46,3609066,1051554
2024-04-28,Website,6499969,6885743,30,60,1415153,315640
2024-04-29,Shopee,12865525,14413049,62,62,2958889,592259
2024-04-29,Lazada,8024421,8879709,21,21,2162414,603028
2024-04-29,TikTok Shop,12947613,13868729,40,120,3479741,628348
2024-04-29,Website,5849838,6682948,26,78,1594423,432646
2024-04-30,Shopee,11855185,13228145,23,23,3235003,460800
2024-04-30,Lazada,6852494,7597385,22,66,1795972,518956
2024-04-30,TikTok Shop,7636362,8142233,21,21,1807295,541926
2024-04-30,Website,5285985,5725636,10,30,1025455,419224
2024-05-01,Shopee,10953589,12049816,45,90,2030463,506333
2024-05-01,Lazada,6422743,6962634,26,78,1769375,281330
2024-05-01,TikTok Shop,8731084,9193504,23,46,2255718,410649
2024-05-01,Website,4492916,4877425,14,28,1002751,273087
2024-05-02,Shopee,14494417,15343346,36,108,3037130,504217
2024-05-02,Lazada,8568819,9067557,35,35,1868003,574397
2024-05-02,TikTok Shop,9461939,10634893,33,66,2044441,241196
2024-05-02,Website,6083447,6658172,16,32,1157212,153533
2024-05-03,Shopee,15824870,17326402,37,111,3659408,414573
2024-05-03,Lazada,9037787,9809537,36,36,2166289,606131
2024-05-03,TikTok Shop,14571136,15317675,36,72,3187873,365473
2024-05-03,Website,7154258,8159579,14,14,1696962,215880
2024-05-04,Shopee,13735672,14655278,34,68,2886045,681117
2024-05-04,Lazada,9855043,10512579,42,84,2188906,483428
2024-05-04,TikTok Shop,11031392,11981333,45,45,2780903,548791
2024-05-04,Website,5607913,6145073,18,18,1180274,431413
2024-05-05,Shopee,17442141,19782202,46,92,4542067,693718
2024-05-05,Lazada,12403458,13557744,33,99,3440999,349374
2024-05-05,TikTok Shop,10263800,11396114,27,81,2053634,398759
2024-05-05,Website,7181985,8236821,17,34,1820543,416369
2024-05-06,Shopee,11138672,12058600,34,68,2914428,485380
2024-05-06,Lazada,7312980,8360247,28,28,1749431,385670
2024-05-06,TikTok Shop,8818169,9282812,18,54,1994337,551153
2024-05-06,Website,4641151,5243426,10,30,867505,328906
2024-05-07,Shopee,12159389,13585659,29,29,2958788,419758
2024-05-07,Lazada,6996573,7846821,24,48,1311133,555822
2024-05-07,TikTok Shop,9806772,10868104,21,63,2262042,737700
2024-05-07,Website,5149766,5687219,12,24,1288283,353984
2024-05-08,Shopee,11749162,12465120,48,48,2887476,485247
2024-05-08,Lazada,6929134,7665854,31,93,1716674,304723
2024-05-08,TikTok Shop,8846204,10142807,23,46,1686037,229262
2024-05-08,Website,5653914,6225341,17,51,1333189,346358
2024-05-09,Shopee,12830512,14043994,40,80,2903626,779753
2024-05-09,Lazada,6867796,7314714,14,14,1567761,259094
2024-05-09,TikTok Shop,9622852,10215686,39,117,1868445,372534
2024-05-09,Website,5654693,6380909,12,36,1290925,274647
2024-05-10,Shopee,12589226,14127622,29,58,2667543,478590
2024-05-10,Lazada,10780389,11343756,41,82,2639007,653597
2024-05-10,TikTok Shop,11385941,13014042,39,117,2327187,346898
2024-05-10,Website,7208980,7808038,25,50,1988570,244466
2024-05-11,Shopee,14309348,15925961,34,34,3492166,657201
2024-05-11,Lazada,7933126,8914762,36,36,1784616,363124
2024-05-11,TikTok Shop,9959427,11159275,49,49,2069912,619731
2024-05-11,Website,6789854,7521357,29,87,1349117,268600
2024-05-12,Shopee,16252425,17250250,36,108,4327430,839647
2024-05-12,Lazada,9032674,10023532,24,72,1980454,242563
2024-05-12,TikTok Shop,13332784,15126734,34,102,2629928,805505
2024-05-12,Website,5408012,6175237,15,45,1019276,151624
2024-05-13,Shopee,12034806,12923664,45,45,2386556,741419
2024-05-13,Lazada,6665207,7257386,14,42,1291629,286755
2024-05-13,TikTok Shop,8785943,9652826,29,87,2190716,515872
2024-05-13,Website,5228571,5780140,17,34,1092162,163267
2024-05-14,Shopee,10884756,12103207,24,48,2995313,534186
2024-05-14,Lazada,7442918,8421822,24,72,1715919,369900
2024-05-14,TikTok Shop,10688642,11667326,23,46,2446309,266791
2024-05-14,Website,4841881,5469331,22,22,1012965,176686
2024-05-15,Shopee,13362938,14416833,27,54,3161204,886669
2024-05-15,Lazada,6749078,7457546,14,14,1601363,243462
2024-05-15,TikTok Shop,10149179,11492202,20,40,2376982,663829
2024-05-15,Website,6105404,6744245,14,28,1161502,426183
2024-05-16,Shopee,8547749,9229611,25,25,1923015,349728
2024-05-16,Lazada,7064959,7728408,28,28,1819673,241740
2024-05-16,TikTok Shop,10209186,11598706,26,78,2483661,305856
2024-05-16,Website,5081105,5733950,18,18,1323852,275419
2024-05-17,Shopee,16510691,17800316,34,102,3249927,1300052
2024-05-17,Lazada,9424966,10168910,26,52,2594125,479400
2024-05-17,TikTok Shop,12548599,13346174,50,100,3411674,998231
2024-05-17,Website,6647747,7446426,24,24,1362574,416705
2024-05-18,Shopee,18032129,20306834,54,162,3953906,514462
2024-05-18,Lazada,10477713,11659403,30,60,2359572,607892
2024-05-18,TikTok Shop,12930134,14097533,51,153,2687174,985020
2024-05-18,Website,6443186,7058314,16,32,1370652,129820
2024-05-19,Shopee,14898942,16732900,59,118,3627655,921311
2024-05-19,Lazada,9645092,10894786,41,82,1946216,441539
2024-05-19,TikTok Shop,13022397,14317754,41,82,3422733,524351
2024-05-19,Website,6439481,7126021,23,46,1666733,474263
2024-05-20,Shopee,12603535,13291616,55,165,3256614,599612
2024-05-20,Lazada,9780047,11178039,36,36,2191988,195998
2024-05-20,TikTok Shop,10570400,11312778,24,72,2863952,770887
2024-05-20,Website,5015779,5346307,14,28,949657,208787
2024-05-21,Shopee,13943703,15159376,57,171,2740670,610462
2024-05-21,Lazada,7450852,8364318,20,20,1660967,189788
2024-05-21,TikTok Shop,7233573,7596037,28,56,1358421,402337
2024-05-21,Website,4591172,5132922,9,9,830113,186468
2024-05-22,Shopee,9456508,10863782,35,70,2358482,460173
2024-05-22,Lazada,7508338,8171377,23,69,1956641,196659
2024-05-22,TikTok Shop,9602176,10928226,24,24,2095887,660650
2024-05-22,Website,6277327,6993932,23,69,1219592,325357
2024-05-23,Shopee,12679661,14087508,62,62,2840370,803205
2024-05-23,Lazada,7637278,8721691,27,81,1899060,546812
2024-05-23,TikTok Shop,10540632,12012729,42,42,2690439,583682
2024-05-23,Website,3841557,4168679,9,18,812299,109061
2024-05-24,Shopee,16319116,18187035,47,47,3840535,913878
2024-05-24,Lazada,11146161,12571721,31,93,2036208,789418
2024-05-24,TikTok Shop,10257115,10980698,28,84,2368904,665385
2024-05-24,Website,7735123,8621699,21,21,1775124,207028
2024-05-25,Shopee,16524518,18405145,35,35,3847381,1299849
2024-05-25,Lazada,9699526,11090365,24,24,2121130,682249
2024-05-25,TikTok Shop,13424157,14585901,31,93,2648278,647862
2024-05-25,Website,8659884,9107331,36,36,1570724,285296
2024-05-26,Shopee,16235352,18587335,70,140,3744864,937011
2024-05-26,Lazada,10518342,11851132,22,44,2631490,262387
2024-05-26,TikTok Shop,11795746,13019738,24,24,2450528,455250
2024-05-26,Website,6114968,6983859,13,13,1428695,265658
2024-05-27,Shopee,13447501,14536977,57,114,3402162,951923
2024-05-27,Lazada,7053888,7579035,30,60,1351515,400222
2024-05-27,TikTok Shop,9691017,10475302,42,126,2382103,295952
2024-05-27,Website,4940592,5537366,23,69,894914,245966
2024-05-28,Shopee,12939296,14262993,33,99,2664521,547490
2024-05-28,Lazada,8180950,9189609,23,23,2103674,178029
2024-05-28,TikTok Shop,10810989,11645576,25,25,2230253,848695
2024-05-28,Website,4923057,5413466,20,60,1063441,246038
2024-05-29,Shopee,11846511,12636532,23,23,2434595,310074
2024-05-29,Lazada,6946097,7452054,26,78,1252082,496794
2024-05-29,TikTok Shop,9106635,9784670,44,88,1970654,684943
2024-05-29,Website,5484563,6269492,18,18,1290444,410448
2024-05-30,Shopee,13362773,14330927,31,31,2961533,844758
2024-05-30,Lazada,7003554,7932223,20,60,1521738,351035
2024-05-30,TikTok Shop,10629395,11351497,46,138,2956475,821065
2024-05-30,Website,6104052,6944574,25,50,1570895,235872
2024-05-31,Shopee,16724626,18485881,68,68,3627436,627102
2024-05-31,Lazada,12550311,14106018,34,34,2841298,696561
2024-05-31,TikTok Shop,11357142,13058200,24,24,2876154,599584
2024-05-31,Website,5808945,6186856,17,34,1059499,304927
2024-06-01,Shopee,12540181,14359749,61,61,3208943,533917
2024-06-01,Lazada,12089191,12819316,33,99,3364562,546298
2024-06-01,TikTok Shop,13510453,15499947,58,58,3393356,345619
2024-06-01,Website,6787224,7735594,21,63,1502051,500454
2024-06-02,Shopee,16488237,18919518,37,37,3925471,829782
2024-06-02,Lazada,8870016,9379892,21,63,1651848,529954
2024-06-02,TikTok Shop,16212542,17407036,60,120,4297805,1225060
2024-06-02,Website,6942714,7776343,17,51,1476196,327456
2024-06-03,Shopee,12439178,13154042,38,38,2408364,823583
2024-06-03,Lazada,8580417,9142787,33,33,1930222,333281
2024-06-03,TikTok Shop,10203836,11260876,38,38,2297819,487751
2024-06-03,Website,5403369,5722396,20,60,1136985,336534
2024-06-04,Shopee,11119683,11914763,50,100,2166474,696864
2024-06-04,Lazada,8344311,9092165,21,21,2067039,297141
2024-06-04,TikTok Shop,11832449,12460849,40,80,3141043,631347
2024-06-04,Website,6115036,6573574,12,24,1163023,413551
2024-06-05,Shopee,14642014,15391622,55,55,2826956,1016455
2024-06-05,Lazada,7417245,8297142,18,54,1397438,409188
2024-06-05,TikTok Shop,8511088,8955196,35,35,1700303,500105
2024-06-05,Website,5188483,5495630,19,38,997500,397110
2024-06-06,Shopee,12381243,13208297,54,162,2764925,785786
2024-06-06,Lazada,8944647,9418250,19,57,1991672,368847
2024-06-06,TikTok Shop,7700884,8297689,25,50,2066474,170028
2024-06-06,Website,6238471,6954197,18,36,1379945,330897
2024-06-07,Shopee,15694467,16616864,67,134,3040389,501712
2024-06-07,Lazada,9757479,10488459,20,60,2531916,774395
2024-06-07,TikTok Shop,11043078,12124951,28,56,2367674,595653
2024-06-07,Website,5494677,5982813,14,14,1003363,306751
2024-06-08,Shopee,17588069,20042950,81,162,3268903,1398109
2024-06-08,Lazada,10380684,11270758,21,63,2906182,814248
2024-06-08,TikTok Shop,10630013,11424986,42,42,2196721,733228
2024-06-08,Website,5793976,6526363,25,25,1376470,457492
2024-06-09,Shopee,15370649,16684539,38,38,3037394,853858
2024-06-09,Lazada,12358109,14105521,31,31,3093794,507930
2024-06-09,TikTok Shop,12191996,13488745,24,72,3350810,855900
2024-06-09,Website,5625891,6212179,12,12,1288575,142985
2024-06-10,Shopee,11963487,13281460,37,37,2783244,239760
2024-06-10,Lazada,7665156,8666567,25,50,1929272,575859
2024-06-10,TikTok Shop,6551017,6917583,17,17,1563472,491545
2024-06-10,Website,5248579,5955290,20,40,1448901,222621
2024-06-11,Shopee,11992198,13294571,29,58,2520478,338025
2024-06-11,Lazada,8591426,9650193,30,60,2226762,667036
2024-06-11,TikTok Shop,11841188,12639524,32,96,2952672,896742
2024-06-11,Website,6000603,6434589,15,45,1568830,256244
2024-06-12,Shopee,11942797,12692027,33,99,2151851,741893
2024-06-12,Lazada,6880065,7809395,16,48,1260691,386270
2024-06-12,TikTok Shop,12690810,14137114,40,40,3473078,360909
2024-06-12,Website,5326585,5719685,22,44,1048212,389476
2024-06-13,Shopee,12368640,14003356,50,150,3016838,905375
2024-06-13,Lazada,7915019,8319790,18,18,1622216,190496
2024-06-13,TikTok Shop,9932618,11210966,29,87,1789144,428654
2024-06-13,Website,5200325,5964306,12,24,1192477,222172
2024-06-14,Shopee,14955835,16264991,30,60,3871662,817835
2024-06-14,Lazada,9647675,10286985,30,30,2507619,212295
2024-06-14,TikTok Shop,12570149,13599289,59,59,2355898,379698
2024-06-14,Website,6434620,6859887,16,16,1510235,475438
2024-06-15,Shopee,14695897,15927340,59,177,3957937,915118
2024-06-15,Lazada,10463045,11972279,24,24,2518787,481844
2024-06-15,TikTok Shop,12240551,12976524,53,53,3396017,545400
2024-06-15,Website,8130432,9124002,16,48,1902623,484865
2024-06-16,Shopee,10964484,11773168,30,30,2404404,580896
2024-06-16,Lazada,11690892,12454997,25,50,2108821,295285
2024-06-16,TikTok Shop,14523222,15539376,32,32,2914742,846580
2024-06-16,Website,5176698,5680686,21,21,1091431,226988
2024-06-17,Shopee,11867068,13522378,25,50,2244225,624772
2024-06-17,Lazada,7601378,8263474,25,50,1649044,355338
2024-06-17,TikTok Shop,8081603,8841064,23,46,1637529,291857
2024-06-17,Website,4808935,5122060,20,60,1186590,120908
2024-06-18,Shopee,10732729,12136763,28,56,2973723,594417
2024-06-18,Lazada,9634374,10174847,19,38,2522669,434683
2024-06-18,TikTok Shop,10821942,12106580,22,44,2567738,369445
2024-06-18,Website,6116777,6470911,17,51,1122263,331977
2024-06-19,Shopee,13462982,15213776,28,84,3746418,388365
2024-06-19,Lazada,6885852,7349187,15,15,1908872,471734
2024-06-19,TikTok Shop,9122255,9617298,34,34,2543540,420751
2024-06-19,Website,5621829,6371842,20,40,1191687,357696
2024-06-20,Shopee,10578914,11199925,44,132,2324563,418582
2024-06-20,Lazada,8651369,9533539,25,25,2237720,496446
2024-06-20,TikTok Shop,9459593,10672016,19,19,2094772,273306
2024-06-20,Website,5074029,5797042,20,60,1308869,340694
2024-06-21,Shopee,17500925,19916290,36,72,3612430,1037582
2024-06-21,Lazada,10918839,12129697,21,21,2153413,482377
2024-06-21,TikTok Shop,12120996,12774054,29,58,3018751,278267
2024-06-21,Website,7872228,8990741,17,34,1432929,543523
2024-06-22,Shopee,14041236,15179909,39,78,3732490,857795
2024-06-22,Lazada,11138672,11845293,34,102,2498527,774688
2024-06-22,TikTok Shop,13579196,15247807,39,117,3320867,424705
2024-06-22,Website,6657850,7598892,21,42,1691723,436553
2024-06-23,Shopee,16775187,18991219,42,126,4347274,401548
2024-06-23,Lazada,8819828,9616598,18,54,2363125,191716
2024-06-23,TikTok Shop,14090554,16028260,46,46,3715646,492738
2024-06-23,Website,6765088,7137547,15,30,1694407,246511
2024-06-24,Shopee,11645620,12816152,26,78,3171188,708874
2024-06-24,Lazada,8992975,9777583,27,81,2019915,698136
2024-06-24,TikTok Shop,8937361,9908746,19,38,1916393,627932
2024-06-24,Website,4424993,4977658,13,39,836497,95788
2024-06-25,Shopee,10109758,10779942,44,132,2608146,332198
2024-06-25,Lazada,8573188,9556858,27,81,1720408,506635
2024-06-25,TikTok Shop,8267132,8697066,17,51,1495440,617480
2024-06-25,Website,6449945,7160176,22,22,1305321,364426
2024-06-26,Shopee,9331346,10462996,25,75,2279405,423908
2024-06-26,Lazada,9624386,10925204,24,48,1974923,461989
2024-06-26,TikTok Shop,10020986,11348075,21,42,2389491,204838
2024-06-26,Website,5269131,5828426,13,39,1269360,199745
2024-06-27,Shopee,11632152,12774126,45,90,3243464,679733
2024-06-27,Lazada,8384219,9022381,24,72,2307494,495407
2024-06-27,TikTok Shop,9734836,10367532,32,32,2628101,665140
2024-06-27,Website,6040201,6741185,14,42,1171757,130029
2024-06-28,Shopee,16410806,18868274,35,70,4442260,726604
2024-06-28,Lazada,10594856,11742304,48,144,2771630,430045
2024-06-28,TikTok Shop,12164839,13607976,38,114,3144486,904962
2024-06-28,Website,6890689,7584798,17,17,1819582,500193
2024-06-29,Shopee,16796293,18129556,56,112,3238231,596589
2024-06-29,Lazada,8276042,9321238,16,16,2273365,612224
2024-06-29,TikTok Shop,10667997,11438497,43,43,2714162,409919
2024-06-29,Website,7561169,8220263,20,60,1583347,537394
2024-06-30,Shopee,16539408,17455157,37,111,3942291,1267879
2024-06-30,Lazada,10188823,11179400,42,42,2343916,734103
2024-06-30,TikTok Shop,12762319,14076632,31,62,2366213,909371
2024-06-30,Website,7235612,8315417,26,52,1598486,391911
2024-07-01,Shopee,11666045,12416433,26,78,2310293,289886
2024-07-01,Lazada,7270053,8092320,19,19,1536463,170707
2024-07-01,TikTok Shop,10031338,10807289,22,22,2383726,295986
2024-07-01,Website,4718354,5015330,19,38,1148206,208568
2024-07-02,Shopee,13092448,14248926,29,29,3055493,835816
2024-07-02,Lazada,6384218,7272906,30,90,1270828,386915
2024-07-02,TikTok Shop,11017590,11817760,33,66,2327017,288248
2024-07-02,Website,5652351,6267706,12,12,1054326,128552
2024-07-03,Shopee,12871676,14102113,36,108,3084530,518344
2024-07-03,Lazada,8974685,9731011,33,66,1937860,280958
2024-07-03,TikTok Shop,11772996,12384162,28,28,2975235,328141
2024-07-03,Website,6003469,6657663,28,28,1154564,376217
2024-07-04,Shopee,9734793,10586775,44,132,2001268,507027
2024-07-04,Lazada,6799116,7542887,30,30,1673922,402603
2024-07-04,TikTok Shop,9081401,9579275,43,43,2013143,388822
2024-07-04,Website,5371766,5776120,11,33,1049174,331500
2024-07-05,Shopee,17262197,18645100,84,252,3281509,884145
2024-07-05,Lazada,9538183,10414576,35,35,2204832,544267
2024-07-05,TikTok Shop,13056099,13857760,37,37,2999951,738193
2024-07-05,Website,6334015,7177388,18,18,1366831,282404
2024-07-06,Shopee,15068382,15881179,53,106,4084069,923575
2024-07-06,Lazada,8689330,9411069,19,19,1575158,220189
2024-07-06,TikTok Shop,11361506,12878531,44,132,2606448,874458
2024-07-06,Website,5838865,6174627,12,36,1110138,206424
2024-07-07,Shopee,14365411,15739824,44,88,2965201,330474
2024-07-07,Lazada,11782306,13401360,40,80,2545231,714078
2024-07-07,TikTok Shop,11327723,12730707,26,26,3003258,831653
2024-07-07,Website,9175935,10416520,44,132,2245534,364465
2024-07-08,Shopee,13264338,15194418,30,60,3552821,339263
2024-07-08,Lazada,8229063,8791000,21,42,1810600,389994
2024-07-08,TikTok Shop,8826003,9876211,21,42,2294672,520123
2024-07-08,Website,5818028,6174706,20,60,1469873,459008
2024-07-09,Shopee,11664471,12368670,41,123,2662619,631475
2024-07-09,Lazada,8172935,8729724,19,38,2107934,463254
2024-07-09,TikTok Shop,12869484,14134657,47,94,2461852,574971
2024-07-09,Website,5308099,5607123,23,69,1122258,330557
2024-07-10,Shopee,14266013,16074271,30,90,3600419,477043
2024-07-10,Lazada,7379430,8131467,19,57,1845286,189759
2024-07-10,TikTok Shop,9809142,10772330,29,87,2429033,422701
2024-07-10,Website,6514741,7421634,13,39,1208202,381789
2024-07-11,Shopee,11600239,12766721,41,82,3076234,837131
2024-07-11,Lazada,9817870,11046508,41,82,2003721,767843
2024-07-11,TikTok Shop,10693072,11769789,47,141,2612657,472598
2024-07-11,Website,5013141,5303317,15,30,1304049,235046
2024-07-12,Shopee,17554527,19217060,38,38,4881336,1136030
2024-07-12,Lazada,11713191,12419078,55,110,2150345,620166
2024-07-12,TikTok Shop,13776539,15556169,55,165,3358084,1011290
2024-07-12,Website,5675087,6076231,11,33,1280418,229564
2024-07-13,Shopee,14900903,16862739,65,130,3176832,984130
2024-07-13,Lazada,10183178,11422123,22,44,2562000,273331
2024-07-13,TikTok Shop,12712528,13350947,40,80,3343247,989874
2024-07-13,Website,7517711,8305335,21,42,1881004,171003
2024-07-14,Shopee,16682819,18338459,58,174,4241625,743264
2024-07-14,Lazada,8818096,9797656,26,26,1693732,627246
2024-07-14,TikTok Shop,13419797,14704133,42,42,3377478,355168
2024-07-14,Website,7513429,7924038,18,54,1981641,415708
2024-07-15,Shopee,13416522,14701004,30,90,3697849,376711
2024-07-15,Lazada,9130184,9590654,19,57,1687780,694976
2024-07-15,TikTok Shop,10866498,12414290,23,23,2707733,330548
2024-07-15,Website,5684887,6028001,21,63,1364683,414779
2024-07-16,Shopee,12473086,14196107,26,52,3466895,934915
2024-07-16,Lazada,6474737,6975620,19,38,1793820,305418
2024-07-16,TikTok Shop,10393036,11056299,38,114,2598274,674566
2024-07-16,Website,5525357,6267454,15,45,1470136,346509
2024-07-17,Shopee,12996171,14468096,26,26,2611857,816979
2024-07-17,Lazada,6851379,7825092,17,17,1905598,404267
2024-07-17,TikTok Shop,8606132,9470096,29,87,2097209,538926
2024-07-17,Website,6075685,6721093,15,45,1440325,364720
2024-07-18,Shopee,12533226,14004932,29,87,2614341,887829
2024-07-18,Lazada,8757551,9653212,42,42,1909908,203034
2024-07-18,TikTok Shop,9928124,10622995,43,43,2763525,605649
2024-07-18,Website,5416271,6141717,19,57,1399758,174621
2024-07-19,Shopee,18224291,19194381,37,74,3467135,1313646
2024-07-19,Lazada,9877926,11226106,19,57,2417246,428042
2024-07-19,TikTok Shop,13018449,14690418,27,81,2717782,779410
2024-07-19,Website,6630579,7219079,16,48,1400812,352266
2024-07-20,Shopee,15534580,17466569,75,75,3760241,1038572
2024-07-20,Lazada,10144963,11494226,23,69,2540937,597112
2024-07-20,TikTok Shop,13220404,14857685,27,27,3405770,1029306
2024-07-20,Website,6620378,7248529,18,54,1240969,514725
2024-07-21,Shopee,18869257,20037931,40,40,4205029,1007541
2024-07-21,Lazada,9410018,10031953,35,70,1699115,451492
2024-07-21,TikTok Shop,12595375,13275450,44,88,3018961,836580
2024-07-21,Website,6656959,7316365,18,54,1564492,162249
2024-07-22,Shopee,14812477,16331341,40,40,3437393,995035
2024-07-22,Lazada,8304870,9065539,29,87,1829909,340202
2024-07-22,TikTok Shop,11144374,12440838,35,70,2408074,368954
2024-07-22,Website,4444752,4878052,9,27,1166165,350549
2024-07-23,Shopee,13032677,13833825,63,126,2926706,967934
2024-07-23,Lazada,8984643,10295409,27,81,2412970,385283
2024-07-23,TikTok Shop,10019971,10907616,38,114,2529016,215252
2024-07-23,Website,6103966,6910976,12,24,1412646,308398
2024-07-24,Shopee,11850687,12495189,26,78,2361264,602414
2024-07-24,Lazada,9496191,10129962,37,111,2215657,547132
2024-07-24,TikTok Shop,12666177,14148545,40,40,3375474,575710
2024-07-24,Website,5179228,5544663,20,60,1387327,333970
2024-07-25,Shopee,11966155,13338148,27,27,3047649,349714
2024-07-25,Lazada,9544399,10705826,21,21,1801525,221965
2024-07-25,TikTok Shop,11815787,13065997,35,105,3097649,882157
2024-07-25,Website,5078057,5529005,12,36,1119431,197964
2024-07-26,Shopee,15614569,17446624,38,114,2819833,987108
2024-07-26,Lazada,10213502,11496278,43,129,1884919,724087
2024-07-26,TikTok Shop,10835606,12382982,27,27,2264465,662627
2024-07-26,Website,6270418,6760462,25,50,1367838,434711
2024-07-27,Shopee,14470289,15879677,66,198,2922804,937750
2024-07-27,Lazada,9602299,10365661,19,57,1866759,582258
2024-07-27,TikTok Shop,12873395,14749552,32,32,3029785,686206
2024-07-27,Website,7249379,7642131,27,81,1737426,378629
2024-07-28,Shopee,19524802,21095946,79,237,4962093,1240923
2024-07-28,Lazada,9314822,10164944,29,87,2469787,265913
2024-07-28,TikTok Shop,14462138,15504552,48,96,2884222,446612
2024-07-28,Website,6873934,7803463,13,39,1554379,364180
2024-07-29,Shopee,12594795,14070509,35,70,2390747,800215
2024-07-29,Lazada,8804569,10082587,19,38,1697710,522361
2024-07-29,TikTok Shop,8613796,9290097,34,34,2325827,336517
2024-07-29,Website,5679178,6149611,13,39,1195851,312640
2024-07-30,Shopee,12930214,14309689,26,52,3567005,389437
2024-07-30,Lazada,8631088,9275118,23,23,2168301,504490
2024-07-30,TikTok Shop,10306132,11687267,29,29,2555488,411151
2024-07-30,Website,7033757,7711002,15,30,1811029,346189
2024-07-31,Shopee,11713309,12504859,45,135,2204414,431483
2024-07-31,Lazada,7634430,8696606,27,27,1575162,558689
2024-07-31,TikTok Shop,9220774,10352555,38,38,2443124,533861
2024-07-31,Website,5073651,5717599,12,12,1373084,269389
2024-08-01,Shopee,11720310,13354105,24,72,2662976,779539
2024-08-01,Lazada,9322571,10154609,23,69,2361619,349223
2024-08-01,TikTok Shop,11671247,12839683,26,26,2563922,585080
2024-08-01,Website,5066485,5749438,15,45,1258597,331512
2024-08-02,Shopee,14858597,16264548,54,54,3516075,801603
2024-08-02,Lazada,11212214,12597953,40,80,3071222,251436
2024-08-02,TikTok Shop,12110613,12996807,26,52,2627319,273318
2024-08-02,Website,7611929,8386736,24,48,1665561,571459
2024-08-03,Shopee,16918689,17832137,75,225,3593650,1052751
2024-08-03,Lazada,8686495,9671167,18,36,2288780,310968
2024-08-03,TikTok Shop,15387133,17033803,31,62,3775503,644995
2024-08-03,Website,8603954,9478687,35,70,2385596,287148
2024-08-04,Shopee,15310396,16616217,37,74,3501276,749086
2024-08-04,Lazada,10129346,11144141,49,49,2268871,342366
2024-08-04,TikTok Shop,13429815,14965483,28,28,2619137,395393
2024-08-04,Website,7366651,8222000,28,56,1923560,465685
2024-08-05,Shopee,13724123,15337022,30,60,2759515,407260
2024-08-05,Lazada,10148872,10679096,24,24,1956586,563677
2024-08-05,TikTok Shop,9781301,10886139,36,36,2631950,281818
2024-08-05,Website,4928818,5302550,17,17,1141830,218482
2024-08-06,Shopee,10619614,11827725,21,63,2684611,735708
2024-08-06,Lazada,7463431,7998256,30,90,2084369,537652
2024-08-06,TikTok Shop,9959252,10675684,34,68,2391056,674012
2024-08-06,Website,6628502,7373023,22,66,1368468,420586
2024-08-07,Shopee,11942111,13640699,31,93,2854876,403510
2024-08-07,Lazada,8405318,8936713,20,20,1683038,601615
2024-08-07,TikTok Shop,9984784,11167349,21,21,2401851,305987
2024-08-07,Website,6235207,7094265,28,84,1436174,168668
2024-08-08,Shopee,16603174,18528134,36,108,3883957,333259
2024-08-08,Lazada,7668262,8451992,17,34,2051125,474348
2024-08-08,TikTok Shop,9422085,10109414,22,44,2439901,403964
2024-08-08,Website,6144134,6712767,24,48,1399106,208598
2024-08-09,Shopee,17927063,19331230,73,219,3959455,561857
2024-08-09,Lazada,13013574,14416420,63,63,3018839,553100
2024-08-09,TikTok Shop,13932490,15587345,45,90,3077471,367748
2024-08-09,Website,6795701,7578278,16,32,1400800,354507
2024-08-10,Shopee,17755381,19292365,35,70,4956945,778525
2024-08-10,Lazada,12076781,13179666,39,117,2756486,509794
